ref,url,nome,imagem,categoria,valor_riscado,valor_boleto,desconto,n_parcelas,valor_parcela
140441,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-ursinhas-balao-nuvens-e-estrelas-salmao-rose-salmao,"Adesivos de Parede Ursinhas, Balão, Nuvens e Estrelas Salmão",https://dmhxz00kguanp.cloudfront.net/fotos/140441/media_adesivos-de-parede-ursinhas-balao-nuvens-e-estrelas-salmao-299600.jpg,Adesivo,79.92,17.99,0.46,4,511.0
140440,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-ursinha-baloes-nuvens-e-estrelas-salmao-rose-salmao,"Adesivos de Parede Ursinha, Balões, Nuvens e Estrelas Salmão",https://dmhxz00kguanp.cloudfront.net/fotos/140440/media_adesivos-de-parede-ursinha-baloes-nuvens-e-estrelas-salmao-299598.jpg,Adesivo,79.92,17.99,0.46,4,511.0
140438,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-fadinhas-nuvens-e-estrelinhas-rosa-azul,"Adesivos de Parede Fadinhas, Nuvens e Estrelinhas Rosa",https://dmhxz00kguanp.cloudfront.net/fotos/140438/media_adesivos-de-parede-fadinhas-nuvens-e-estrelinhas-rosa-299596.jpg,Adesivo,79.92,16.99,0.46,3,596.0
140437,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-fadinha-nas-nuvens-rosa-azul,Adesivos de Parede Fadinha nas Nuvens Rosa ,https://dmhxz00kguanp.cloudfront.net/fotos/140437/media_adesivos-de-parede-fadinha-nas-nuvens-rosa-299595.jpg,Adesivo,79.92,17.99,0.46,4,511.0
140328,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-ursinho-nas-estrelas-poa-azul-marinho,Adesivos de Parede Ursinho nas Estrelas Poá Azul Marinho,https://dmhxz00kguanp.cloudfront.net/fotos/140328/media_adesivos-de-parede-ursinho-nas-estrelas-poa-azul-marinho-299591.jpg,Adesivo,79.92,16.99,0.46,3,596.0
140327,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-ursinho-nas-estrelas-cinza-azul,Adesivos de Parede Ursinho nas Estrelas Cinza,https://dmhxz00kguanp.cloudfront.net/fotos/140327/media_adesivos-de-parede-ursinho-nas-estrelas-cinza-299590.jpg,Adesivo,79.92,17.99,0.46,4,511.0
140318,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-ursinho-nas-estrelas-azul-marinho,Adesivos de Parede Ursinho nas Estrelas Azul Marinho,https://dmhxz00kguanp.cloudfront.net/fotos/140318/media_adesivos-de-parede-ursinho-nas-estrelas-azul-marinho-299589.jpg,Adesivo,79.92,16.99,0.46,3,596.0
121981,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-amiguinhas-bananinha-e-melancia-verde,Adesivos de Parede Amiguinhas Bananinha e Melancia,https://dmhxz00kguanp.cloudfront.net/fotos/121981/media_adesivos-de-parede-bananinha-e-melancia-277196.jpg,Adesivo,79.92,17.99,0.21,4,511.0
121980,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/adesivos-de-parede-amiguinhos-abacaxi-e-maca-amarelo-verde,Adesivos de Parede Amiguinhos Abacaxi e Maçã Verde,https://dmhxz00kguanp.cloudfront.net/fotos/121980/media_adesivos-de-parede-amiguinhos-abacaxi-e-maca-verde-277198.jpg,Adesivo,79.92,17.99,0.21,4,511.0
121966,https://www.graodegente.com.br/adesivo-parede-quarto-de-bebe/faixa-adesiva-de-parede-frutinhas-verde,Faixa Adesiva de Parede Frutinhas,https://dmhxz00kguanp.cloudfront.net/fotos/121966/media_faixa-adesiva-de-parede-amiguinhas-frutinhas-275813.jpg,Adesivo,79.92,19.99,0.3,4,568.0
